ref	value	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8	Item count
C1,C2	0.1u									2
C3	0.001u									1
C4	0.1u									1
C5	0.001u									1
C6,C7	0.1u									2
C8	0.001u									1
C9	0.1u									1
D1,D2	LM4040-2.5									2
P1,P2	CONN_4									2
POT1	10K									1
R1,R2	4.7K									2
R3	10K									1
R4	33K									1
R5,R6	10K									2
R7	33K									1
R8	10K									1
R9	9.53K									1
R10,R11	10K									2
R12,R13	100K									2
R14,R15	4.7K									2
R16,R17	33K									2
R18	100K									1
R19	49.9K									1
R20	100K									1
SW1	DP6T-QY-25S-A									1
TRIM1	1K									1
TRIM2,TRIM3	10K									2
TRIM4	100K									1
U1	TL074									1
U2	TL072									1
